PassengerId,Title,Name,Sex,Age,FamilyStatus,Class,Fare,Survived,SurvivedBinary
1,Mr,"Braund, Mr. Owen Harris",male,22.0,with_family,3,7.25,no,0
2,Mrs,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,with_family,1,71.2833,yes,1
3,Miss,"Heikkinen, Miss. Laina",female,26.0,single,3,7.925,yes,1
4,Mrs,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,with_family,1,53.1,yes,1
5,Mr,"Allen, Mr. William Henry",male,35.0,single,3,8.05,no,0
6,Mr,"Moran, Mr. James",male,29.699118,single,3,8.4583,no,0
7,Mr,"McCarthy, Mr. Timothy J",male,54.0,single,1,51.8625,no,0
8,Mr,"Palsson, Master. Gosta Leonard",male,2.0,with_family,3,21.075,no,0
9,Mrs,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,with_family,3,11.1333,yes,1
10,Mrs,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,with_family,2,30.0708,yes,1
11,Miss,"Sandstrom, Miss. Marguerite Rut",female,4.0,with_family,3,16.7,yes,1
12,Miss,"Bonnell, Miss. Elizabeth",female,58.0,single,1,26.55,yes,1
13,Mr,"Saundercock, Mr. William Henry",male,20.0,single,3,8.05,no,0
14,Mr,"Andersson, Mr. Anders Johan",male,39.0,with_family,3,31.275,no,0
15,Miss,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,single,3,7.8542,no,0
16,Mrs,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,single,2,16.0,yes,1
17,Mr,"Rice, Master. Eugene",male,2.0,with_family,3,29.125,no,0
18,Mr,"Williams, Mr. Charles Eugene",male,29.699118,single,2,13.0,yes,1
19,Mrs,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,with_family,3,18.0,no,0
20,Mrs,"Masselmani, Mrs. Fatima",female,29.699118,single,3,7.225,yes,1
21,Mr,"Fynney, Mr. Joseph J",male,35.0,single,2,26.0,no,0
22,Mr,"Beesley, Mr. Lawrence",male,34.0,single,2,13.0,yes,1
23,Miss,"McGowan, Miss. Anna ""Annie""",female,15.0,single,3,8.0292,yes,1
24,Mr,"Sloper, Mr. William Thompson",male,28.0,single,1,35.5,yes,1
25,Miss,"Palsson, Miss. Torborg Danira",female,8.0,with_family,3,21.075,no,0
26,Mrs,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,with_family,3,31.3875,yes,1
27,Mr,"Emir, Mr. Farred Chehab",male,29.699118,single,3,7.225,no,0
28,Mr,"Fortune, Mr. Charles Alexander",male,19.0,with_family,1,263.0,no,0
29,Miss,"O'Dwyer, Miss. Ellen ""Nellie""",female,29.699118,single,3,7.8792,yes,1
30,Mr,"Todoroff, Mr. Lalio",male,29.699118,single,3,7.8958,no,0
31,Mr,"Uruchurtu, Don. Manuel E",male,40.0,single,1,27.7208,no,0
32,Mrs,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,29.699118,with_family,1,146.5208,yes,1
33,Miss,"Glynn, Miss. Mary Agatha",female,29.699118,single,3,7.75,yes,1
34,Mr,"Wheadon, Mr. Edward H",male,66.0,single,2,10.5,no,0
35,Mr,"Meyer, Mr. Edgar Joseph",male,28.0,with_family,1,82.1708,no,0
36,Mr,"Holverson, Mr. Alexander Oskar",male,42.0,with_family,1,52.0,no,0
37,Mr,"Mamee, Mr. Hanna",male,29.699118,single,3,7.2292,yes,1
38,Mr,"Cann, Mr. Ernest Charles",male,21.0,single,3,8.05,no,0
39,Miss,"Vander Planke, Miss. Augusta Maria",female,18.0,with_family,3,18.0,no,0
40,Miss,"Nicola-Yarred, Miss. Jamila",female,14.0,with_family,3,11.2417,yes,1
41,Mrs,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,with_family,3,9.475,no,0
42,Mrs,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,with_family,2,21.0,no,0
43,Mr,"Kraeff, Mr. Theodor",male,29.699118,single,3,7.8958,no,0
44,Miss,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,with_family,2,41.5792,yes,1
45,Miss,"Devaney, Miss. Margaret Delia",female,19.0,single,3,7.8792,yes,1
46,Mr,"Rogers, Mr. William John",male,29.699118,single,3,8.05,no,0
47,Mr,"Lennon, Mr. Denis",male,29.699118,with_family,3,15.5,no,0
48,Miss,"O'Driscoll, Miss. Bridget",female,29.699118,single,3,7.75,yes,1
49,Mr,"Samaan, Mr. Youssef",male,29.699118,with_family,3,21.6792,no,0
50,Mrs,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,with_family,3,17.8,no,0
51,Mr,"Panula, Master. Juha Niilo",male,7.0,with_family,3,39.6875,no,0
52,Mr,"Nosworthy, Mr. Richard Cater",male,21.0,single,3,7.8,no,0
53,Mrs,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,with_family,1,76.7292,yes,1
54,Mrs,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,with_family,2,26.0,yes,1
55,Mr,"Ostby, Mr. Engelhart Cornelius",male,65.0,with_family,1,61.9792,no,0
56,Mr,"Woolner, Mr. Hugh",male,29.699118,single,1,35.5,yes,1
57,Miss,"Rugg, Miss. Emily",female,21.0,single,2,10.5,yes,1
58,Mr,"Novel, Mr. Mansouer",male,28.5,single,3,7.2292,no,0
59,Miss,"West, Miss. Constance Mirium",female,5.0,with_family,2,27.75,yes,1
60,Mr,"Goodwin, Master. William Frederick",male,11.0,with_family,3,46.9,no,0
61,Mr,"Sirayanian, Mr. Orsen",male,22.0,single,3,7.2292,no,0
63,Mr,"Harris, Mr. Henry Birkhardt",male,45.0,with_family,1,83.475,no,0
64,Mr,"Skoog, Master. Harald",male,4.0,with_family,3,27.9,no,0
65,Mr,"Stewart, Mr. Albert A",male,29.699118,single,1,27.7208,no,0
66,Mr,"Moubarek, Master. Gerios",male,29.699118,with_family,3,15.2458,yes,1
67,Mrs,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,single,2,10.5,yes,1
68,Mr,"Crease, Mr. Ernest James",male,19.0,single,3,8.1583,no,0
69,Miss,"Andersson, Miss. Erna Alexandra",female,17.0,with_family,3,7.925,yes,1
70,Mr,"Kink, Mr. Vincenz",male,26.0,with_family,3,8.6625,no,0
71,Mr,"Jenkin, Mr. Stephen Curnow",male,32.0,single,2,10.5,no,0
72,Miss,"Goodwin, Miss. Lillian Amy",female,16.0,with_family,3,46.9,no,0
73,Mr,"Hood, Mr. Ambrose Jr",male,21.0,single,2,73.5,no,0
74,Mr,"Chronopoulos, Mr. Apostolos",male,26.0,with_family,3,14.4542,no,0
75,Mr,"Bing, Mr. Lee",male,32.0,single,3,56.4958,yes,1
76,Mr,"Moen, Mr. Sigurd Hansen",male,25.0,single,3,7.65,no,0
77,Mr,"Staneff, Mr. Ivan",male,29.699118,single,3,7.8958,no,0
78,Mr,"Moutal, Mr. Rahamin Haim",male,29.699118,single,3,8.05,no,0
79,Mr,"Caldwell, Master. Alden Gates",male,0.83,with_family,2,29.0,yes,1
80,Miss,"Dowdell, Miss. Elizabeth",female,30.0,single,3,12.475,yes,1
81,Mr,"Waelens, Mr. Achille",male,22.0,single,3,9.0,no,0
82,Mr,"Sheerlinck, Mr. Jan Baptist",male,29.0,single,3,9.5,yes,1
83,Miss,"McDermott, Miss. Brigdet Delia",female,29.699118,single,3,7.7875,yes,1
84,Mr,"Carrau, Mr. Francisco M",male,28.0,single,1,47.1,no,0
85,Miss,"Ilett, Miss. Bertha",female,17.0,single,2,10.5,yes,1
86,Mrs,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,with_family,3,15.85,yes,1
87,Mr,"Ford, Mr. William Neal",male,16.0,with_family,3,34.375,no,0
88,Mr,"Slocovski, Mr. Selman Francis",male,29.699118,single,3,8.05,no,0
89,Miss,"Fortune, Miss. Mabel Helen",female,23.0,with_family,1,263.0,yes,1
90,Mr,"Celotti, Mr. Francesco",male,24.0,single,3,8.05,no,0
91,Mr,"Christmann, Mr. Emil",male,29.0,single,3,8.05,no,0
92,Mr,"Andreasson, Mr. Paul Edvin",male,20.0,single,3,7.8542,no,0
93,Mr,"Chaffee, Mr. Herbert Fuller",male,46.0,with_family,1,61.175,no,0
94,Mr,"Dean, Mr. Bertram Frank",male,26.0,with_family,3,20.575,no,0
95,Mr,"Coxon, Mr. Daniel",male,59.0,single,3,7.25,no,0
96,Mr,"Shorney, Mr. Charles Joseph",male,29.699118,single,3,8.05,no,0
97,Mr,"Goldschmidt, Mr. George B",male,71.0,single,1,34.6542,no,0
98,Mr,"Greenfield, Mr. William Bertram",male,23.0,with_family,1,63.3583,yes,1
99,Mrs,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,with_family,2,23.0,yes,1
100,Mr,"Kantor, Mr. Sinai",male,34.0,with_family,2,26.0,no,0
101,Miss,"Petranec, Miss. Matilda",female,28.0,single,3,7.8958,no,0
102,Mr,"Petroff, Mr. Pastcho (""Pentcho"")",male,29.699118,single,3,7.8958,no,0
103,Mr,"White, Mr. Richard Frasar",male,21.0,with_family,1,77.2875,no,0
104,Mr,"Johansson, Mr. Gustaf Joel",male,33.0,single,3,8.6542,no,0
105,Mr,"Gustafsson, Mr. Anders Vilhelm",male,37.0,with_family,3,7.925,no,0
106,Mr,"Mionoff, Mr. Stoytcho",male,28.0,single,3,7.8958,no,0
107,Miss,"Salkjelsvik, Miss. Anna Kristine",female,21.0,single,3,7.65,yes,1
108,Mr,"Moss, Mr. Albert Johan",male,29.699118,single,3,7.775,yes,1
109,Mr,"Rekic, Mr. Tido",male,38.0,single,3,7.8958,no,0
110,Miss,"Moran, Miss. Bertha",female,29.699118,with_family,3,24.15,yes,1
111,Mr,"Porter, Mr. Walter Chamberlain",male,47.0,single,1,52.0,no,0
112,Miss,"Zabour, Miss. Hileni",female,14.5,with_family,3,14.4542,no,0
113,Mr,"Barton, Mr. David John",male,22.0,single,3,8.05,no,0
114,Miss,"Jussila, Miss. Katriina",female,20.0,with_family,3,9.825,no,0
115,Miss,"Attalah, Miss. Malake",female,17.0,single,3,14.4583,no,0
116,Mr,"Pekoniemi, Mr. Edvard",male,21.0,single,3,7.925,no,0
117,Mr,"Connors, Mr. Patrick",male,70.5,single,3,7.75,no,0
118,Mr,"Turpin, Mr. William John Robert",male,29.0,with_family,2,21.0,no,0
119,Mr,"Baxter, Mr. Quigg Edmond",male,24.0,with_family,1,247.5208,no,0
120,Miss,"Andersson, Miss. Ellis Anna Maria",female,2.0,with_family,3,31.275,no,0
121,Mr,"Hickman, Mr. Stanley George",male,21.0,with_family,2,73.5,no,0
122,Mr,"Moore, Mr. Leonard Charles",male,29.699118,single,3,8.05,no,0
123,Mr,"Nasser, Mr. Nicholas",male,32.5,with_family,2,30.0708,no,0
124,Miss,"Webber, Miss. Susan",female,32.5,single,2,13.0,yes,1
125,Mr,"White, Mr. Percival Wayland",male,54.0,with_family,1,77.2875,no,0
126,Mr,"Nicola-Yarred, Master. Elias",male,12.0,with_family,3,11.2417,yes,1
127,Mr,"McMahon, Mr. Martin",male,29.699118,single,3,7.75,no,0
128,Mr,"Madsen, Mr. Fridtjof Arne",male,24.0,single,3,7.1417,yes,1
129,Miss,"Peter, Miss. Anna",female,29.699118,with_family,3,22.3583,yes,1
130,Mr,"Ekstrom, Mr. Johan",male,45.0,single,3,6.975,no,0
131,Mr,"Drazenoic, Mr. Jozef",male,33.0,single,3,7.8958,no,0
132,Mr,"Coelho, Mr. Domingos Fernandeo",male,20.0,single,3,7.05,no,0
133,Mrs,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,with_family,3,14.5,no,0
134,Mrs,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,with_family,2,26.0,yes,1
135,Mr,"Sobey, Mr. Samuel James Hayden",male,25.0,single,2,13.0,no,0
136,Mr,"Richard, Mr. Emile",male,23.0,single,2,15.0458,no,0
137,Miss,"Newsom, Miss. Helen Monypeny",female,19.0,with_family,1,26.2833,yes,1
138,Mr,"Futrelle, Mr. Jacques Heath",male,37.0,with_family,1,53.1,no,0
139,Mr,"Osen, Mr. Olaf Elon",male,16.0,single,3,9.2167,no,0
140,Mr,"Giglio, Mr. Victor",male,24.0,single,1,79.2,no,0
141,Mrs,"Boulos, Mrs. Joseph (Sultana)",female,29.699118,with_family,3,15.2458,no,0
142,Miss,"Nysten, Miss. Anna Sofia",female,22.0,single,3,7.75,yes,1
143,Mrs,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,with_family,3,15.85,yes,1
144,Mr,"Burke, Mr. Jeremiah",male,19.0,single,3,6.75,no,0
145,Mr,"Andrew, Mr. Edgardo Samuel",male,18.0,single,2,11.5,no,0
146,Mr,"Nicholls, Mr. Joseph Charles",male,19.0,with_family,2,36.75,no,0
147,Mr,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,single,3,7.7958,yes,1
148,Miss,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,with_family,3,34.375,no,0
149,Mr,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,with_family,2,26.0,no,0
150,Mr,"Byles, Rev. Thomas Roussel Davids",male,42.0,single,2,13.0,no,0
151,Mr,"Bateman, Rev. Robert James",male,51.0,single,2,12.525,no,0
152,Mrs,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,with_family,1,66.6,yes,1
153,Mr,"Meo, Mr. Alfonzo",male,55.5,single,3,8.05,no,0
154,Mr,"van Billiard, Mr. Austin Blyler",male,40.5,with_family,3,14.5,no,0
155,Mr,"Olsen, Mr. Ole Martin",male,29.699118,single,3,7.3125,no,0
156,Mr,"Williams, Mr. Charles Duane",male,51.0,with_family,1,61.3792,no,0
157,Miss,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,single,3,7.7333,yes,1
158,Mr,"Corn, Mr. Harry",male,30.0,single,3,8.05,no,0
159,Mr,"Smiljanic, Mr. Mile",male,29.699118,single,3,8.6625,no,0
160,Mr,"Sage, Master. Thomas Henry",male,29.699118,with_family,3,69.55,no,0
161,Mr,"Cribb, Mr. John Hatfield",male,44.0,with_family,3,16.1,no,0
162,Mrs,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,single,2,15.75,yes,1
163,Mr,"Bengtsson, Mr. John Viktor",male,26.0,single,3,7.775,no,0
164,Mr,"Calic, Mr. Jovo",male,17.0,single,3,8.6625,no,0
165,Mr,"Panula, Master. Eino Viljami",male,1.0,with_family,3,39.6875,no,0
166,Mr,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,with_family,3,20.525,yes,1
167,Mrs,"Chibnall, Mrs. (Edith Martha Bowerman)",female,29.699118,with_family,1,55.0,yes,1
168,Mrs,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,with_family,3,27.9,no,0
169,Mr,"Baumann, Mr. John D",male,29.699118,single,1,25.925,no,0
170,Mr,"Ling, Mr. Lee",male,28.0,single,3,56.4958,no,0
171,Mr,"Van der hoef, Mr. Wyckoff",male,61.0,single,1,33.5,no,0
172,Mr,"Rice, Master. Arthur",male,4.0,with_family,3,29.125,no,0
173,Miss,"Johnson, Miss. Eleanor Ileen",female,1.0,with_family,3,11.1333,yes,1
174,Mr,"Sivola, Mr. Antti Wilhelm",male,21.0,single,3,7.925,no,0
175,Mr,"Smith, Mr. James Clinch",male,56.0,single,1,30.6958,no,0
176,Mr,"Klasen, Mr. Klas Albin",male,18.0,with_family,3,7.8542,no,0
177,Mr,"Lefebre, Master. Henry Forbes",male,29.699118,with_family,3,25.4667,no,0
178,Miss,"Isham, Miss. Ann Elizabeth",female,50.0,single,1,28.7125,no,0
179,Mr,"Hale, Mr. Reginald",male,30.0,single,2,13.0,no,0
180,Mr,"Leonard, Mr. Lionel",male,36.0,single,3,0.0,no,0
181,Miss,"Sage, Miss. Constance Gladys",female,29.699118,with_family,3,69.55,no,0
182,Mr,"Pernot, Mr. Rene",male,29.699118,single,2,15.05,no,0
183,Mr,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,with_family,3,31.3875,no,0
184,Mr,"Becker, Master. Richard F",male,1.0,with_family,2,39.0,yes,1
185,Miss,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,with_family,3,22.025,yes,1
186,Mr,"Rood, Mr. Hugh Roscoe",male,29.699118,single,1,50.0,no,0
187,Mrs,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,29.699118,with_family,3,15.5,yes,1
188,Mr,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,single,1,26.55,yes,1
189,Mr,"Bourke, Mr. John",male,40.0,with_family,3,15.5,no,0
190,Mr,"Turcin, Mr. Stjepan",male,36.0,single,3,7.8958,no,0
191,Mrs,"Pinsky, Mrs. (Rosa)",female,32.0,single,2,13.0,yes,1
192,Mr,"Carbines, Mr. William",male,19.0,single,2,13.0,no,0
193,Miss,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,with_family,3,7.8542,yes,1
194,Mr,"Navratil, Master. Michel M",male,3.0,with_family,2,26.0,yes,1
195,Mrs,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,single,1,27.7208,yes,1
196,Miss,"Lurette, Miss. Elise",female,58.0,single,1,146.5208,yes,1
197,Mr,"Mernagh, Mr. Robert",male,29.699118,single,3,7.75,no,0
198,Mr,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,with_family,3,8.4042,no,0
199,Miss,"Madigan, Miss. Margaret ""Maggie""",female,29.699118,single,3,7.75,yes,1
200,Miss,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,single,2,13.0,no,0
201,Mr,"Vande Walle, Mr. Nestor Cyriel",male,28.0,single,3,9.5,no,0
202,Mr,"Sage, Mr. Frederick",male,29.699118,with_family,3,69.55,no,0
203,Mr,"Johanson, Mr. Jakob Alfred",male,34.0,single,3,6.4958,no,0
204,Mr,"Youseff, Mr. Gerious",male,45.5,single,3,7.225,no,0
205,Mr,"Cohen, Mr. Gurshon ""Gus""",male,18.0,single,3,8.05,yes,1
206,Miss,"Strom, Miss. Telma Matilda",female,2.0,with_family,3,10.4625,no,0
207,Mr,"Backstrom, Mr. Karl Alfred",male,32.0,with_family,3,15.85,no,0
208,Mr,"Albimona, Mr. Nassef Cassem",male,26.0,single,3,18.7875,yes,1
209,Miss,"Carr, Miss. Helen ""Ellen""",female,16.0,single,3,7.75,yes,1
210,Mr,"Blank, Mr. Henry",male,40.0,single,1,31.0,yes,1
211,Mr,"Ali, Mr. Ahmed",male,24.0,single,3,7.05,no,0
212,Miss,"Cameron, Miss. Clear Annie",female,35.0,single,2,21.0,yes,1
213,Mr,"Perkin, Mr. John Henry",male,22.0,single,3,7.25,no,0
214,Mr,"Givard, Mr. Hans Kristensen",male,30.0,single,2,13.0,no,0
215,Mr,"Kiernan, Mr. Philip",male,29.699118,with_family,3,7.75,no,0
216,Miss,"Newell, Miss. Madeleine",female,31.0,with_family,1,113.275,yes,1
217,Miss,"Honkanen, Miss. Eliina",female,27.0,single,3,7.925,yes,1
218,Mr,"Jacobsohn, Mr. Sidney Samuel",male,42.0,with_family,2,27.0,no,0
219,Miss,"Bazzani, Miss. Albina",female,32.0,single,1,76.2917,yes,1
220,Mr,"Harris, Mr. Walter",male,30.0,single,2,10.5,no,0
221,Mr,"Sunderland, Mr. Victor Francis",male,16.0,single,3,8.05,yes,1
222,Mr,"Bracken, Mr. James H",male,27.0,single,2,13.0,no,0
223,Mr,"Green, Mr. George Henry",male,51.0,single,3,8.05,no,0
224,Mr,"Nenkoff, Mr. Christo",male,29.699118,single,3,7.8958,no,0
225,Mr,"Hoyt, Mr. Frederick Maxfield",male,38.0,with_family,1,90.0,yes,1
226,Mr,"Berglund, Mr. Karl Ivar Sven",male,22.0,single,3,9.35,no,0
227,Mr,"Mellors, Mr. William John",male,19.0,single,2,10.5,yes,1
228,Mr,"Lovell, Mr. John Hall (""Henry"")",male,20.5,single,3,7.25,no,0
229,Mr,"Fahlstrom, Mr. Arne Jonas",male,18.0,single,2,13.0,no,0
230,Miss,"Lefebre, Miss. Mathilde",female,29.699118,with_family,3,25.4667,no,0
231,Mrs,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,with_family,1,83.475,yes,1
232,Mr,"Larsson, Mr. Bengt Edvin",male,29.0,single,3,7.775,no,0
233,Mr,"Sjostedt, Mr. Ernst Adolf",male,59.0,single,2,13.5,no,0
234,Miss,"Asplund, Miss. Lillian Gertrud",female,5.0,with_family,3,31.3875,yes,1
235,Mr,"Leyson, Mr. Robert William Norman",male,24.0,single,2,10.5,no,0
236,Miss,"Harknett, Miss. Alice Phoebe",female,29.699118,single,3,7.55,no,0
237,Mr,"Hold, Mr. Stephen",male,44.0,with_family,2,26.0,no,0
238,Miss,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,with_family,2,26.25,yes,1
239,Mr,"Pengelly, Mr. Frederick William",male,19.0,single,2,10.5,no,0
240,Mr,"Hunt, Mr. George Henry",male,33.0,single,2,12.275,no,0
241,Miss,"Zabour, Miss. Thamine",female,29.699118,with_family,3,14.4542,no,0
242,Miss,"Murphy, Miss. Katherine ""Kate""",female,29.699118,with_family,3,15.5,yes,1
243,Mr,"Coleridge, Mr. Reginald Charles",male,29.0,single,2,10.5,no,0
244,Mr,"Maenpaa, Mr. Matti Alexanteri",male,22.0,single,3,7.125,no,0
245,Mr,"Attalah, Mr. Sleiman",male,30.0,single,3,7.225,no,0
246,Mr,"Minahan, Dr. William Edward",male,44.0,with_family,1,90.0,no,0
247,Miss,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,single,3,7.775,no,0
248,Mrs,"Hamalainen, Mrs. William (Anna)",female,24.0,with_family,2,14.5,yes,1
249,Mr,"Beckwith, Mr. Richard Leonard",male,37.0,with_family,1,52.5542,yes,1
250,Mr,"Carter, Rev. Ernest Courtenay",male,54.0,with_family,2,26.0,no,0
251,Mr,"Reed, Mr. James George",male,29.699118,single,3,7.25,no,0
252,Mrs,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,with_family,3,10.4625,no,0
253,Mr,"Stead, Mr. William Thomas",male,62.0,single,1,26.55,no,0
254,Mr,"Lobb, Mr. William Arthur",male,30.0,with_family,3,16.1,no,0
255,Mrs,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,with_family,3,20.2125,no,0
256,Mrs,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,with_family,3,15.2458,yes,1
257,Mrs,"Thorne, Mrs. Gertrude Maybelle",female,29.699118,single,1,79.2,yes,1
258,Miss,"Cherry, Miss. Gladys",female,30.0,single,1,86.5,yes,1
259,Miss,"Ward, Miss. Anna",female,35.0,single,1,512.3292,yes,1
260,Mrs,"Parrish, Mrs. (Lutie Davis)",female,50.0,with_family,2,26.0,yes,1
261,Mr,"Smith, Mr. Thomas",male,29.699118,single,3,7.75,no,0
262,Mr,"Asplund, Master. Edvin Rojj Felix",male,3.0,with_family,3,31.3875,yes,1
263,Mr,"Taussig, Mr. Emil",male,52.0,with_family,1,79.65,no,0
264,Mr,"Harrison, Mr. William",male,40.0,single,1,0.0,no,0
265,Miss,"Henry, Miss. Delia",female,29.699118,single,3,7.75,no,0
266,Mr,"Reeves, Mr. David",male,36.0,single,2,10.5,no,0
267,Mr,"Panula, Mr. Ernesti Arvid",male,16.0,with_family,3,39.6875,no,0
268,Mr,"Persson, Mr. Ernst Ulrik",male,25.0,with_family,3,7.775,yes,1
269,Mrs,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,with_family,1,153.4625,yes,1
270,Miss,"Bissette, Miss. Amelia",female,35.0,single,1,135.6333,yes,1
271,Mr,"Cairns, Mr. Alexander",male,29.699118,single,1,31.0,no,0
272,Mr,"Tornquist, Mr. William Henry",male,25.0,single,3,0.0,yes,1
273,Mrs,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,with_family,2,19.5,yes,1
274,Mr,"Natsch, Mr. Charles H",male,37.0,with_family,1,29.7,no,0
275,Miss,"Healy, Miss. Hanora ""Nora""",female,29.699118,single,3,7.75,yes,1
276,Miss,"Andrews, Miss. Kornelia Theodosia",female,63.0,with_family,1,77.9583,yes,1
277,Miss,"Lindblom, Miss. Augusta Charlotta",female,45.0,single,3,7.75,no,0
278,Mr,"Parkes, Mr. Francis ""Frank""",male,29.699118,single,2,0.0,no,0
279,Mr,"Rice, Master. Eric",male,7.0,with_family,3,29.125,no,0
280,Mrs,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,with_family,3,20.25,yes,1
281,Mr,"Duane, Mr. Frank",male,65.0,single,3,7.75,no,0
282,Mr,"Olsson, Mr. Nils Johan Goransson",male,28.0,single,3,7.8542,no,0
283,Mr,"de Pelsmaeker, Mr. Alfons",male,16.0,single,3,9.5,no,0
284,Mr,"Dorking, Mr. Edward Arthur",male,19.0,single,3,8.05,yes,1
285,Mr,"Smith, Mr. Richard William",male,29.699118,single,1,26.0,no,0
286,Mr,"Stankovic, Mr. Ivan",male,33.0,single,3,8.6625,no,0
287,Mr,"de Mulder, Mr. Theodore",male,30.0,single,3,9.5,yes,1
288,Mr,"Naidenoff, Mr. Penko",male,22.0,single,3,7.8958,no,0
289,Mr,"Hosono, Mr. Masabumi",male,42.0,single,2,13.0,yes,1
290,Miss,"Connolly, Miss. Kate",female,22.0,single,3,7.75,yes,1
291,Miss,"Barber, Miss. Ellen ""Nellie""",female,26.0,single,1,78.85,yes,1
292,Mrs,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,with_family,1,91.0792,yes,1
293,Mr,"Levy, Mr. Rene Jacques",male,36.0,single,2,12.875,no,0
294,Miss,"Haas, Miss. Aloisia",female,24.0,single,3,8.85,no,0
295,Mr,"Mineff, Mr. Ivan",male,24.0,single,3,7.8958,no,0
296,Mr,"Lewy, Mr. Ervin G",male,29.699118,single,1,27.7208,no,0
297,Mr,"Hanna, Mr. Mansour",male,23.5,single,3,7.2292,no,0
298,Miss,"Allison, Miss. Helen Loraine",female,2.0,with_family,1,151.55,no,0
