Title,Sex,Age,FamilyStatus,Class,Fare,SurvivedBinary
Mr,male,22.0,with_family,3,7.25,0
Mrs,female,38.0,with_family,1,71.2833,1
Miss,female,26.0,single,3,7.925,1
Mrs,female,35.0,with_family,1,53.1,1
Mr,male,35.0,single,3,8.05,0
Mr,male,29.699118,single,3,8.4583,0
Mr,male,54.0,single,1,51.8625,0
Mr,male,2.0,with_family,3,21.075,0
Mrs,female,27.0,with_family,3,11.1333,1
Mrs,female,14.0,with_family,2,30.0708,1
Miss,female,4.0,with_family,3,16.7,1
Miss,female,58.0,single,1,26.55,1
Mr,male,20.0,single,3,8.05,0
Mr,male,39.0,with_family,3,31.275,0
Miss,female,14.0,single,3,7.8542,0
Mrs,female,55.0,single,2,16.0,1
Mr,male,2.0,with_family,3,29.125,0
Mr,male,29.699118,single,2,13.0,1
Mrs,female,31.0,with_family,3,18.0,0
Mrs,female,29.699118,single,3,7.225,1
Mr,male,35.0,single,2,26.0,0
Mr,male,34.0,single,2,13.0,1
Miss,female,15.0,single,3,8.0292,1
Mr,male,28.0,single,1,35.5,1
Miss,female,8.0,with_family,3,21.075,0
Mrs,female,38.0,with_family,3,31.3875,1
Mr,male,29.699118,single,3,7.225,0
Mr,male,19.0,with_family,1,263.0,0
Miss,female,29.699118,single,3,7.8792,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,40.0,single,1,27.7208,0
Mrs,female,29.699118,with_family,1,146.5208,1
Miss,female,29.699118,single,3,7.75,1
Mr,male,66.0,single,2,10.5,0
Mr,male,28.0,with_family,1,82.1708,0
Mr,male,42.0,with_family,1,52.0,0
Mr,male,29.699118,single,3,7.2292,1
Mr,male,21.0,single,3,8.05,0
Miss,female,18.0,with_family,3,18.0,0
Miss,female,14.0,with_family,3,11.2417,1
Mrs,female,40.0,with_family,3,9.475,0
Mrs,female,27.0,with_family,2,21.0,0
Mr,male,29.699118,single,3,7.8958,0
Miss,female,3.0,with_family,2,41.5792,1
Miss,female,19.0,single,3,7.8792,1
Mr,male,29.699118,single,3,8.05,0
Mr,male,29.699118,with_family,3,15.5,0
Miss,female,29.699118,single,3,7.75,1
Mr,male,29.699118,with_family,3,21.6792,0
Mrs,female,18.0,with_family,3,17.8,0
Mr,male,7.0,with_family,3,39.6875,0
Mr,male,21.0,single,3,7.8,0
Mrs,female,49.0,with_family,1,76.7292,1
Mrs,female,29.0,with_family,2,26.0,1
Mr,male,65.0,with_family,1,61.9792,0
Mr,male,29.699118,single,1,35.5,1
Miss,female,21.0,single,2,10.5,1
Mr,male,28.5,single,3,7.2292,0
Miss,female,5.0,with_family,2,27.75,1
Mr,male,11.0,with_family,3,46.9,0
Mr,male,22.0,single,3,7.2292,0
Mr,male,45.0,with_family,1,83.475,0
Mr,male,4.0,with_family,3,27.9,0
Mr,male,29.699118,single,1,27.7208,0
Mr,male,29.699118,with_family,3,15.2458,1
Mrs,female,29.0,single,2,10.5,1
Mr,male,19.0,single,3,8.1583,0
Miss,female,17.0,with_family,3,7.925,1
Mr,male,26.0,with_family,3,8.6625,0
Mr,male,32.0,single,2,10.5,0
Miss,female,16.0,with_family,3,46.9,0
Mr,male,21.0,single,2,73.5,0
Mr,male,26.0,with_family,3,14.4542,0
Mr,male,32.0,single,3,56.4958,1
Mr,male,25.0,single,3,7.65,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,0.83,with_family,2,29.0,1
Miss,female,30.0,single,3,12.475,1
Mr,male,22.0,single,3,9.0,0
Mr,male,29.0,single,3,9.5,1
Miss,female,29.699118,single,3,7.7875,1
Mr,male,28.0,single,1,47.1,0
Miss,female,17.0,single,2,10.5,1
Mrs,female,33.0,with_family,3,15.85,1
Mr,male,16.0,with_family,3,34.375,0
Mr,male,29.699118,single,3,8.05,0
Miss,female,23.0,with_family,1,263.0,1
Mr,male,24.0,single,3,8.05,0
Mr,male,29.0,single,3,8.05,0
Mr,male,20.0,single,3,7.8542,0
Mr,male,46.0,with_family,1,61.175,0
Mr,male,26.0,with_family,3,20.575,0
Mr,male,59.0,single,3,7.25,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,71.0,single,1,34.6542,0
Mr,male,23.0,with_family,1,63.3583,1
Mrs,female,34.0,with_family,2,23.0,1
Mr,male,34.0,with_family,2,26.0,0
Miss,female,28.0,single,3,7.8958,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,21.0,with_family,1,77.2875,0
Mr,male,33.0,single,3,8.6542,0
Mr,male,37.0,with_family,3,7.925,0
Mr,male,28.0,single,3,7.8958,0
Miss,female,21.0,single,3,7.65,1
Mr,male,29.699118,single,3,7.775,1
Mr,male,38.0,single,3,7.8958,0
Miss,female,29.699118,with_family,3,24.15,1
Mr,male,47.0,single,1,52.0,0
Miss,female,14.5,with_family,3,14.4542,0
Mr,male,22.0,single,3,8.05,0
Miss,female,20.0,with_family,3,9.825,0
Miss,female,17.0,single,3,14.4583,0
Mr,male,21.0,single,3,7.925,0
Mr,male,70.5,single,3,7.75,0
Mr,male,29.0,with_family,2,21.0,0
Mr,male,24.0,with_family,1,247.5208,0
Miss,female,2.0,with_family,3,31.275,0
Mr,male,21.0,with_family,2,73.5,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,32.5,with_family,2,30.0708,0
Miss,female,32.5,single,2,13.0,1
Mr,male,54.0,with_family,1,77.2875,0
Mr,male,12.0,with_family,3,11.2417,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,24.0,single,3,7.1417,1
Miss,female,29.699118,with_family,3,22.3583,1
Mr,male,45.0,single,3,6.975,0
Mr,male,33.0,single,3,7.8958,0
Mr,male,20.0,single,3,7.05,0
Mrs,female,47.0,with_family,3,14.5,0
Mrs,female,29.0,with_family,2,26.0,1
Mr,male,25.0,single,2,13.0,0
Mr,male,23.0,single,2,15.0458,0
Miss,female,19.0,with_family,1,26.2833,1
Mr,male,37.0,with_family,1,53.1,0
Mr,male,16.0,single,3,9.2167,0
Mr,male,24.0,single,1,79.2,0
Mrs,female,29.699118,with_family,3,15.2458,0
Miss,female,22.0,single,3,7.75,1
Mrs,female,24.0,with_family,3,15.85,1
Mr,male,19.0,single,3,6.75,0
Mr,male,18.0,single,2,11.5,0
Mr,male,19.0,with_family,2,36.75,0
Mr,male,27.0,single,3,7.7958,1
Miss,female,9.0,with_family,3,34.375,0
Mr,male,36.5,with_family,2,26.0,0
Mr,male,42.0,single,2,13.0,0
Mr,male,51.0,single,2,12.525,0
Mrs,female,22.0,with_family,1,66.6,1
Mr,male,55.5,single,3,8.05,0
Mr,male,40.5,with_family,3,14.5,0
Mr,male,29.699118,single,3,7.3125,0
Mr,male,51.0,with_family,1,61.3792,0
Miss,female,16.0,single,3,7.7333,1
Mr,male,30.0,single,3,8.05,0
Mr,male,29.699118,single,3,8.6625,0
Mr,male,29.699118,with_family,3,69.55,0
Mr,male,44.0,with_family,3,16.1,0
Mrs,female,40.0,single,2,15.75,1
Mr,male,26.0,single,3,7.775,0
Mr,male,17.0,single,3,8.6625,0
Mr,male,1.0,with_family,3,39.6875,0
Mr,male,9.0,with_family,3,20.525,1
Mrs,female,29.699118,with_family,1,55.0,1
Mrs,female,45.0,with_family,3,27.9,0
Mr,male,29.699118,single,1,25.925,0
Mr,male,28.0,single,3,56.4958,0
Mr,male,61.0,single,1,33.5,0
Mr,male,4.0,with_family,3,29.125,0
Miss,female,1.0,with_family,3,11.1333,1
Mr,male,21.0,single,3,7.925,0
Mr,male,56.0,single,1,30.6958,0
Mr,male,18.0,with_family,3,7.8542,0
Mr,male,29.699118,with_family,3,25.4667,0
Miss,female,50.0,single,1,28.7125,0
Mr,male,30.0,single,2,13.0,0
Mr,male,36.0,single,3,0.0,0
Miss,female,29.699118,with_family,3,69.55,0
Mr,male,29.699118,single,2,15.05,0
Mr,male,9.0,with_family,3,31.3875,0
Mr,male,1.0,with_family,2,39.0,1
Miss,female,4.0,with_family,3,22.025,1
Mr,male,29.699118,single,1,50.0,0
Mrs,female,29.699118,with_family,3,15.5,1
Mr,male,45.0,single,1,26.55,1
Mr,male,40.0,with_family,3,15.5,0
Mr,male,36.0,single,3,7.8958,0
Mrs,female,32.0,single,2,13.0,1
Mr,male,19.0,single,2,13.0,0
Miss,female,19.0,with_family,3,7.8542,1
Mr,male,3.0,with_family,2,26.0,1
Mrs,female,44.0,single,1,27.7208,1
Miss,female,58.0,single,1,146.5208,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,42.0,with_family,3,8.4042,0
Miss,female,29.699118,single,3,7.75,1
Miss,female,24.0,single,2,13.0,0
Mr,male,28.0,single,3,9.5,0
Mr,male,29.699118,with_family,3,69.55,0
Mr,male,34.0,single,3,6.4958,0
Mr,male,45.5,single,3,7.225,0
Mr,male,18.0,single,3,8.05,1
Miss,female,2.0,with_family,3,10.4625,0
Mr,male,32.0,with_family,3,15.85,0
Mr,male,26.0,single,3,18.7875,1
Miss,female,16.0,single,3,7.75,1
Mr,male,40.0,single,1,31.0,1
Mr,male,24.0,single,3,7.05,0
Miss,female,35.0,single,2,21.0,1
Mr,male,22.0,single,3,7.25,0
Mr,male,30.0,single,2,13.0,0
Mr,male,29.699118,with_family,3,7.75,0
Miss,female,31.0,with_family,1,113.275,1
Miss,female,27.0,single,3,7.925,1
Mr,male,42.0,with_family,2,27.0,0
Miss,female,32.0,single,1,76.2917,1
Mr,male,30.0,single,2,10.5,0
Mr,male,16.0,single,3,8.05,1
Mr,male,27.0,single,2,13.0,0
Mr,male,51.0,single,3,8.05,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,38.0,with_family,1,90.0,1
Mr,male,22.0,single,3,9.35,0
Mr,male,19.0,single,2,10.5,1
Mr,male,20.5,single,3,7.25,0
Mr,male,18.0,single,2,13.0,0
Miss,female,29.699118,with_family,3,25.4667,0
Mrs,female,35.0,with_family,1,83.475,1
Mr,male,29.0,single,3,7.775,0
Mr,male,59.0,single,2,13.5,0
Miss,female,5.0,with_family,3,31.3875,1
Mr,male,24.0,single,2,10.5,0
Miss,female,29.699118,single,3,7.55,0
Mr,male,44.0,with_family,2,26.0,0
Miss,female,8.0,with_family,2,26.25,1
Mr,male,19.0,single,2,10.5,0
Mr,male,33.0,single,2,12.275,0
Miss,female,29.699118,with_family,3,14.4542,0
Miss,female,29.699118,with_family,3,15.5,1
Mr,male,29.0,single,2,10.5,0
Mr,male,22.0,single,3,7.125,0
Mr,male,30.0,single,3,7.225,0
Mr,male,44.0,with_family,1,90.0,0
Miss,female,25.0,single,3,7.775,0
Mrs,female,24.0,with_family,2,14.5,1
Mr,male,37.0,with_family,1,52.5542,1
Mr,male,54.0,with_family,2,26.0,0
Mr,male,29.699118,single,3,7.25,0
Mrs,female,29.0,with_family,3,10.4625,0
Mr,male,62.0,single,1,26.55,0
Mr,male,30.0,with_family,3,16.1,0
Mrs,female,41.0,with_family,3,20.2125,0
Mrs,female,29.0,with_family,3,15.2458,1
Mrs,female,29.699118,single,1,79.2,1
Miss,female,30.0,single,1,86.5,1
Miss,female,35.0,single,1,512.3292,1
Mrs,female,50.0,with_family,2,26.0,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,3.0,with_family,3,31.3875,1
Mr,male,52.0,with_family,1,79.65,0
Mr,male,40.0,single,1,0.0,0
Miss,female,29.699118,single,3,7.75,0
Mr,male,36.0,single,2,10.5,0
Mr,male,16.0,with_family,3,39.6875,0
Mr,male,25.0,with_family,3,7.775,1
Mrs,female,58.0,with_family,1,153.4625,1
Miss,female,35.0,single,1,135.6333,1
Mr,male,29.699118,single,1,31.0,0
Mr,male,25.0,single,3,0.0,1
Mrs,female,41.0,with_family,2,19.5,1
Mr,male,37.0,with_family,1,29.7,0
Miss,female,29.699118,single,3,7.75,1
Miss,female,63.0,with_family,1,77.9583,1
Miss,female,45.0,single,3,7.75,0
Mr,male,29.699118,single,2,0.0,0
Mr,male,7.0,with_family,3,29.125,0
Mrs,female,35.0,with_family,3,20.25,1
Mr,male,65.0,single,3,7.75,0
Mr,male,28.0,single,3,7.8542,0
Mr,male,16.0,single,3,9.5,0
Mr,male,19.0,single,3,8.05,1
Mr,male,29.699118,single,1,26.0,0
Mr,male,33.0,single,3,8.6625,0
Mr,male,30.0,single,3,9.5,1
Mr,male,22.0,single,3,7.8958,0
Mr,male,42.0,single,2,13.0,1
Miss,female,22.0,single,3,7.75,1
Miss,female,26.0,single,1,78.85,1
Mrs,female,19.0,with_family,1,91.0792,1
Mr,male,36.0,single,2,12.875,0
Miss,female,24.0,single,3,8.85,0
Mr,male,24.0,single,3,7.8958,0
Mr,male,29.699118,single,1,27.7208,0
Mr,male,23.5,single,3,7.2292,0
Miss,female,2.0,with_family,1,151.55,0
Mr,male,29.699118,single,1,30.5,1
Mrs,female,50.0,with_family,1,247.5208,1
Miss,female,29.699118,single,3,7.75,1
Mr,male,29.699118,with_family,3,23.25,1
Mr,male,19.0,single,3,0.0,0
Miss,female,29.699118,single,2,12.35,1
Mr,male,29.699118,single,3,8.05,0
Mr,male,0.92,with_family,1,151.55,1
Miss,female,29.699118,single,1,110.8833,1
Mrs,female,17.0,with_family,1,108.9,1
Mr,male,30.0,with_family,2,24.0,0
Miss,female,30.0,single,1,56.9292,1
Miss,female,24.0,single,1,83.1583,1
Miss,female,18.0,with_family,1,262.375,1
Mrs,female,26.0,with_family,2,26.0,0
Mr,male,28.0,single,3,7.8958,0
Mr,male,43.0,with_family,2,26.25,0
Miss,female,26.0,single,3,7.8542,1
Mrs,female,24.0,with_family,2,26.0,1
Mr,male,54.0,single,2,14.0,0
Miss,female,31.0,with_family,1,164.8667,1
Mrs,female,40.0,with_family,1,134.5,1
Mr,male,22.0,single,3,7.25,0
Mr,male,27.0,single,3,7.8958,0
Miss,female,30.0,single,2,12.35,1
Mrs,female,22.0,with_family,2,29.0,1
Mr,male,29.699118,with_family,3,69.55,0
Miss,female,36.0,single,1,135.6333,1
Mr,male,61.0,single,3,6.2375,0
Mrs,female,36.0,single,2,13.0,1
Mrs,female,31.0,with_family,3,20.525,1
Miss,female,16.0,with_family,1,57.9792,1
Miss,female,29.699118,with_family,3,23.25,1
Mr,male,45.5,single,1,28.5,0
Mr,male,38.0,with_family,1,153.4625,0
Mr,male,16.0,with_family,3,18.0,0
Mrs,female,29.699118,with_family,1,133.65,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.0,with_family,1,66.6,0
Miss,female,41.0,single,1,134.5,1
Mr,male,45.0,single,3,8.05,1
Mr,male,45.0,single,1,35.5,0
Mr,male,2.0,with_family,2,26.0,1
Miss,female,24.0,with_family,1,263.0,1
Mr,male,28.0,single,2,13.0,0
Mr,male,25.0,single,2,13.0,0
Mr,male,36.0,single,2,13.0,0
Miss,female,24.0,single,2,13.0,1
Miss,female,40.0,single,2,13.0,1
Mrs,female,29.699118,with_family,3,16.1,1
Mr,male,3.0,with_family,3,15.9,1
Mr,male,42.0,single,3,8.6625,0
Mr,male,23.0,single,3,9.225,0
Mr,male,29.699118,single,1,35.0,0
Mr,male,15.0,with_family,3,7.2292,0
Mr,male,25.0,with_family,3,17.8,0
Mr,male,29.699118,single,3,7.225,0
Mr,male,28.0,single,3,9.5,0
Miss,female,22.0,with_family,1,55.0,1
Miss,female,38.0,single,2,13.0,0
Miss,female,29.699118,single,3,7.8792,1
Miss,female,29.699118,single,3,7.8792,1
Mr,male,40.0,with_family,3,27.9,0
Mr,male,29.0,with_family,2,27.7208,0
Mrs,female,45.0,with_family,3,14.4542,0
Mr,male,35.0,single,3,7.05,0
Mr,male,29.699118,with_family,3,15.5,0
Mr,male,30.0,single,3,7.25,0
Mrs,female,60.0,with_family,1,75.25,1
Mrs,female,29.699118,single,3,7.2292,1
Miss,female,29.699118,single,3,7.75,1
Mrs,female,24.0,single,1,69.3,1
Mr,male,25.0,with_family,1,55.4417,1
Mr,male,18.0,with_family,3,6.4958,0
Mr,male,19.0,single,3,8.05,0
Mr,male,22.0,single,1,135.6333,0
Miss,female,3.0,with_family,3,21.075,0
Mrs,female,29.699118,with_family,1,82.1708,1
Miss,female,22.0,single,3,7.25,1
Mr,male,27.0,with_family,1,211.5,0
Mr,male,20.0,single,3,4.0125,0
Mr,male,19.0,single,3,7.775,0
Miss,female,42.0,single,1,227.525,1
Miss,female,1.0,with_family,3,15.7417,1
Mr,male,32.0,single,3,7.925,0
Mrs,female,35.0,with_family,1,52.0,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,18.0,single,2,73.5,0
Mr,male,1.0,with_family,3,46.9,0
Miss,female,36.0,single,2,13.0,1
Mr,male,29.699118,single,3,7.7292,0
Miss,female,17.0,single,2,12.0,1
Mr,male,36.0,with_family,1,120.0,1
Mr,male,21.0,single,3,7.7958,1
Mr,male,28.0,with_family,3,7.925,0
Miss,female,23.0,with_family,1,113.275,1
Mrs,female,24.0,with_family,3,16.7,1
Mr,male,22.0,single,3,7.7958,0
Miss,female,31.0,single,3,7.8542,0
Mr,male,46.0,single,2,26.0,0
Mr,male,23.0,single,2,10.5,0
Mrs,female,28.0,single,2,12.65,1
Mr,male,39.0,single,3,7.925,1
Mr,male,26.0,single,3,8.05,0
Miss,female,21.0,with_family,3,9.825,0
Mr,male,28.0,with_family,3,15.85,0
Miss,female,20.0,single,3,8.6625,0
Mr,male,34.0,with_family,2,21.0,0
Mr,male,51.0,single,3,7.75,0
Mr,male,3.0,with_family,2,18.75,1
Mr,male,21.0,single,3,7.775,0
Miss,female,29.699118,with_family,3,25.4667,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,3,6.8583,0
Miss,female,33.0,with_family,1,90.0,1
Mr,male,29.699118,single,2,0.0,0
Mr,male,44.0,single,3,7.925,1
Mrs,female,29.699118,single,3,8.05,0
Mrs,female,34.0,with_family,2,32.5,1
Miss,female,18.0,with_family,2,13.0,1
Mr,male,30.0,single,2,13.0,0
Miss,female,10.0,with_family,3,24.15,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,21.0,single,3,7.7333,0
Mr,male,29.0,single,3,7.875,0
Mrs,female,28.0,with_family,3,14.4,0
Mr,male,18.0,with_family,3,20.2125,0
Mr,male,29.699118,single,3,7.25,0
Mrs,female,28.0,with_family,2,26.0,1
Miss,female,19.0,single,2,26.0,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,32.0,single,3,8.05,1
Mr,male,28.0,single,1,26.55,1
Mrs,female,29.699118,with_family,3,16.1,1
Mrs,female,42.0,with_family,2,26.0,1
Mr,male,17.0,single,3,7.125,0
Mr,male,50.0,with_family,1,55.9,0
Miss,female,14.0,with_family,1,120.0,1
Miss,female,21.0,with_family,3,34.375,0
Mrs,female,24.0,with_family,2,18.75,1
Mr,male,64.0,with_family,1,263.0,0
Mr,male,31.0,single,2,10.5,0
Mrs,female,45.0,with_family,2,26.25,1
