Title,Sex,Age,FamilyStatus,Class,Fare,SurvivedBinary
Mr,male,20.0,single,3,9.5,0
Mr,male,25.0,with_family,3,7.775,0
Miss,female,28.0,single,2,13.0,1
Mr,male,29.699118,single,3,8.1125,1
Mr,male,4.0,with_family,1,81.8583,1
Miss,female,13.0,with_family,2,19.5,1
Mr,male,34.0,single,1,26.55,1
Miss,female,5.0,with_family,3,19.2583,1
Mr,male,52.0,single,1,30.5,1
Mr,male,36.0,with_family,2,27.75,0
Mr,male,29.699118,with_family,3,19.9667,0
Mr,male,30.0,single,1,27.75,0
Mr,male,49.0,with_family,1,89.1042,1
Mr,male,29.699118,single,3,8.05,0
Mr,male,29.0,single,3,7.8958,1
Mr,male,65.0,single,1,26.55,0
Mrs,female,29.699118,with_family,1,51.8625,1
Miss,female,50.0,single,2,10.5,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,48.0,single,1,26.55,1
Mr,male,34.0,single,3,8.05,0
Mr,male,47.0,single,1,38.5,0
Mr,male,48.0,single,2,13.0,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,38.0,single,3,7.05,0
Mr,male,29.699118,single,2,0.0,0
Mr,male,56.0,single,1,26.55,0
Mr,male,29.699118,single,3,7.725,0
Miss,female,0.75,with_family,3,19.2583,1
Mr,male,29.699118,single,3,7.25,0
Mr,male,38.0,single,3,8.6625,0
Mrs,female,33.0,with_family,2,27.75,1
Mrs,female,23.0,single,2,13.7917,1
Miss,female,22.0,single,3,9.8375,0
Mr,male,29.699118,single,1,52.0,0
Mr,male,34.0,with_family,2,21.0,0
Mr,male,29.0,with_family,3,7.0458,0
Mr,male,22.0,single,3,7.5208,0
Miss,female,2.0,with_family,3,12.2875,1
Mr,male,9.0,with_family,3,46.9,0
Mr,male,29.699118,single,2,0.0,0
Mr,male,50.0,single,3,8.05,0
Mrs,female,63.0,single,3,9.5875,1
Mr,male,25.0,with_family,1,91.0792,1
Miss,female,29.699118,with_family,3,25.4667,0
Mrs,female,35.0,with_family,1,90.0,1
Mr,male,58.0,single,1,29.7,0
Mr,male,30.0,single,3,8.05,0
Mr,male,9.0,with_family,3,15.9,1
Mr,male,29.699118,with_family,3,19.9667,0
Mr,male,21.0,single,3,7.25,0
Mr,male,55.0,single,1,30.5,0
Mr,male,71.0,single,1,49.5042,0
Mr,male,21.0,single,3,8.05,0
Mr,male,29.699118,single,3,14.4583,0
Miss,female,54.0,with_family,1,78.2667,1
Mr,male,29.699118,single,3,15.1,0
Mrs,female,25.0,with_family,1,151.55,0
Mr,male,24.0,single,3,7.7958,0
Mr,male,17.0,single,3,8.6625,0
Miss,female,21.0,single,3,7.75,0
Miss,female,29.699118,single,3,7.6292,0
Miss,female,37.0,single,3,9.5875,0
Miss,female,16.0,single,1,86.5,1
Mr,male,18.0,with_family,1,108.9,0
Mrs,female,33.0,with_family,2,26.0,1
Mr,male,29.699118,single,1,26.55,1
Mr,male,28.0,single,3,22.525,0
Mr,male,26.0,single,3,56.4958,1
Mr,male,29.0,single,3,7.75,1
Mr,male,29.699118,single,3,8.05,0
Mr,male,36.0,single,1,26.2875,1
Mrs,female,54.0,with_family,1,59.4,1
Mr,male,24.0,single,3,7.4958,0
Mr,male,47.0,single,1,34.0208,0
Mrs,female,34.0,single,2,10.5,1
Mr,male,29.699118,single,3,24.15,0
Mrs,female,36.0,with_family,2,26.0,1
Mr,male,32.0,single,3,7.8958,0
Miss,female,30.0,single,1,93.5,1
Mr,male,22.0,single,3,7.8958,0
Mr,male,29.699118,single,3,7.225,0
Mrs,female,44.0,with_family,1,57.9792,1
Mr,male,29.699118,single,3,7.2292,0
Mr,male,40.5,single,3,7.75,0
Miss,female,50.0,single,2,10.5,1
Mr,male,29.699118,single,1,221.7792,0
Mr,male,39.0,single,3,7.925,0
Mr,male,23.0,with_family,2,11.5,0
Miss,female,2.0,with_family,2,26.0,1
Mr,male,29.699118,single,3,7.2292,0
Mr,male,17.0,with_family,3,7.2292,0
Mrs,female,29.699118,with_family,3,22.3583,1
Miss,female,30.0,single,3,8.6625,0
Miss,female,7.0,with_family,2,26.25,1
Mr,male,45.0,single,1,26.55,0
Miss,female,30.0,single,1,106.425,1
Mr,male,29.699118,single,3,14.5,0
Miss,female,22.0,with_family,1,49.5,1
Miss,female,36.0,with_family,1,71.0,1
Miss,female,9.0,with_family,3,31.275,0
Miss,female,11.0,with_family,3,31.275,0
Mr,male,32.0,with_family,2,26.0,1
Mr,male,50.0,with_family,1,106.425,0
Mr,male,64.0,single,1,26.0,0
Mrs,female,19.0,with_family,2,26.0,1
Mr,male,29.699118,single,2,13.8625,1
Mr,male,33.0,with_family,3,20.525,0
Mr,male,8.0,with_family,2,36.75,1
Mr,male,17.0,with_family,1,110.8833,1
Mr,male,27.0,single,2,26.0,0
Mr,male,29.699118,single,3,7.8292,0
Mr,male,22.0,single,3,7.225,1
Miss,female,22.0,single,3,7.775,1
Mr,male,62.0,single,1,26.55,0
Mrs,female,48.0,with_family,1,39.6,1
Mr,male,29.699118,single,1,227.525,0
Mrs,female,39.0,with_family,1,79.65,1
Mrs,female,36.0,with_family,3,17.4,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,40.0,single,3,7.8958,0
Mr,male,28.0,single,2,13.5,0
Mr,male,29.699118,single,3,8.05,0
Miss,female,29.699118,single,3,8.05,0
Mr,male,24.0,with_family,3,24.15,0
Mr,male,19.0,single,3,7.8958,0
Mrs,female,29.0,with_family,3,21.075,0
Mr,male,29.699118,single,3,7.2292,0
Mr,male,32.0,single,3,7.8542,1
Mr,male,62.0,single,2,10.5,1
Mrs,female,53.0,with_family,1,51.4792,1
Mr,male,36.0,single,1,26.3875,1
Miss,female,29.699118,single,3,7.75,1
Mr,male,16.0,single,3,8.05,0
Mr,male,19.0,single,3,14.5,0
Miss,female,34.0,single,2,13.0,1
Mrs,female,39.0,with_family,1,55.9,1
Mrs,female,29.699118,with_family,3,14.4583,0
Mr,male,32.0,single,3,7.925,1
Miss,female,25.0,with_family,2,30.0,1
Mrs,female,39.0,with_family,1,110.8833,1
Mr,male,54.0,single,2,26.0,0
Mr,male,36.0,single,1,40.125,0
Mr,male,29.699118,single,3,8.7125,0
Miss,female,18.0,with_family,1,79.65,1
Mr,male,47.0,single,2,15.0,0
Mr,male,60.0,with_family,1,79.2,1
Mr,male,22.0,single,3,8.05,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,35.0,single,3,7.125,0
Mrs,female,52.0,with_family,1,78.2667,1
Mr,male,47.0,single,3,7.25,0
Miss,female,29.699118,with_family,3,7.75,0
Mr,male,37.0,with_family,2,26.0,0
Mr,male,36.0,with_family,3,24.15,0
Miss,female,29.699118,single,2,33.0,1
Mr,male,49.0,single,3,0.0,0
Mr,male,29.699118,single,3,7.225,0
Mr,male,49.0,with_family,1,56.9292,1
Mrs,female,24.0,with_family,2,27.0,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,1,42.4,0
Mr,male,44.0,single,3,8.05,0
Mr,male,35.0,single,1,26.55,1
Mr,male,36.0,with_family,3,15.55,0
Mr,male,30.0,single,3,7.8958,0
Mr,male,27.0,single,1,30.5,1
Mrs,female,22.0,with_family,2,41.5792,1
Miss,female,40.0,single,1,153.4625,1
Mrs,female,39.0,with_family,3,31.275,0
Mr,male,29.699118,single,3,7.05,0
Miss,female,29.699118,with_family,3,15.5,1
Mr,male,29.699118,single,3,7.75,0
Mr,male,35.0,single,3,8.05,0
Miss,female,24.0,with_family,2,65.0,1
Mr,male,34.0,with_family,3,14.4,0
Mrs,female,26.0,with_family,3,16.1,0
Miss,female,4.0,with_family,2,39.0,1
Mr,male,26.0,single,2,10.5,0
Mr,male,27.0,with_family,3,14.4542,0
Mr,male,42.0,with_family,1,52.5542,1
Mr,male,20.0,with_family,3,15.7417,1
Mr,male,21.0,single,3,7.8542,0
Mr,male,21.0,single,3,16.1,0
Mr,male,61.0,single,1,32.3208,0
Mr,male,57.0,single,2,12.35,0
Miss,female,21.0,single,1,77.9583,1
Mr,male,26.0,single,3,7.8958,0
Mr,male,29.699118,single,3,7.7333,0
Mr,male,80.0,single,1,30.0,1
Mr,male,51.0,single,3,7.0542,0
Mr,male,32.0,single,1,30.5,1
Mr,male,29.699118,single,1,0.0,0
Miss,female,9.0,with_family,3,27.9,0
Miss,female,28.0,single,2,13.0,1
Mr,male,32.0,single,3,7.925,0
Mr,male,31.0,with_family,2,26.25,0
Mrs,female,41.0,with_family,3,39.6875,0
Mr,male,29.699118,with_family,3,16.1,0
Mr,male,20.0,single,3,7.8542,0
Miss,female,24.0,single,1,69.3,1
Miss,female,2.0,with_family,3,27.9,0
Mr,male,29.699118,single,3,56.4958,1
Miss,female,0.75,with_family,3,19.2583,1
Mr,male,48.0,with_family,1,76.7292,1
Mr,male,19.0,single,3,7.8958,0
Mr,male,56.0,single,1,35.5,1
Mr,male,29.699118,single,3,7.55,0
Miss,female,23.0,single,3,7.55,1
Mr,male,29.699118,single,3,7.8958,0
Miss,female,18.0,with_family,2,23.0,1
Mr,male,21.0,single,3,8.4333,0
Miss,female,29.699118,single,3,7.8292,1
Miss,female,18.0,single,3,6.75,0
Mr,male,24.0,with_family,2,73.5,0
Mr,male,29.699118,single,3,7.8958,0
Mrs,female,32.0,with_family,3,15.5,0
Mr,male,23.0,single,2,13.0,0
Mr,male,58.0,with_family,1,113.275,0
Mr,male,50.0,with_family,1,133.65,1
Mr,male,40.0,single,3,7.225,0
Mr,male,47.0,single,1,25.5875,0
Mr,male,36.0,single,3,7.4958,0
Mr,male,20.0,with_family,3,7.925,1
Mr,male,32.0,with_family,2,73.5,0
Mr,male,25.0,single,2,13.0,0
Mr,male,29.699118,single,3,7.775,0
Mr,male,43.0,single,3,8.05,0
Mrs,female,29.699118,with_family,1,52.0,1
Mrs,female,40.0,with_family,2,39.0,1
Mr,male,31.0,with_family,1,52.0,0
Mr,male,70.0,single,2,10.5,0
Mr,male,31.0,single,2,13.0,1
Mr,male,29.699118,single,2,0.0,0
Mr,male,18.0,single,3,7.775,0
Mr,male,24.5,single,3,8.05,0
Miss,female,18.0,single,3,9.8417,1
Mrs,female,43.0,with_family,3,46.9,0
Mr,male,36.0,with_family,1,512.3292,1
Miss,female,29.699118,single,3,8.1375,0
Mr,male,27.0,single,1,76.7292,1
Mr,male,20.0,single,3,9.225,0
Mr,male,14.0,with_family,3,46.9,0
Mr,male,60.0,with_family,2,39.0,0
Mr,male,25.0,with_family,2,41.5792,0
Mr,male,14.0,with_family,3,39.6875,0
Mr,male,19.0,single,3,10.1708,0
Mr,male,18.0,single,3,7.7958,0
Miss,female,15.0,with_family,1,211.3375,1
Mr,male,31.0,with_family,1,57.0,1
Miss,female,4.0,with_family,3,13.4167,1
Mr,male,29.699118,single,3,56.4958,1
Mr,male,25.0,single,3,7.225,0
Mr,male,60.0,single,1,26.55,0
Mr,male,52.0,single,2,13.5,0
Mr,male,44.0,single,3,8.05,0
Miss,female,29.699118,single,3,7.7333,1
Mr,male,49.0,with_family,1,110.8833,0
Mr,male,42.0,single,3,7.65,0
Mrs,female,18.0,with_family,1,227.525,1
Mr,male,35.0,single,1,26.2875,1
Miss,female,18.0,with_family,3,14.4542,0
Mr,male,25.0,single,3,7.7417,0
Mr,male,26.0,with_family,3,7.8542,0
Mr,male,39.0,single,2,26.0,0
Mrs,female,45.0,single,2,13.5,1
Mr,male,42.0,single,1,26.2875,1
Miss,female,22.0,single,1,151.55,1
Mr,male,29.699118,with_family,3,15.2458,1
Miss,female,24.0,single,1,49.5042,1
Mr,male,29.699118,single,1,26.55,0
Mr,male,48.0,with_family,1,52.0,1
Mr,male,29.0,single,3,9.4833,0
Mr,male,52.0,single,2,13.0,0
Mr,male,19.0,single,3,7.65,0
Miss,female,38.0,single,1,227.525,1
Miss,female,27.0,single,2,10.5,1
Mr,male,29.699118,single,3,15.5,0
Mr,male,33.0,single,3,7.775,0
Miss,female,6.0,with_family,2,33.0,1
Mr,male,17.0,with_family,3,7.0542,0
Mr,male,34.0,single,2,13.0,0
Mr,male,50.0,single,2,13.0,0
Mr,male,27.0,with_family,1,53.1,1
Mr,male,20.0,single,3,8.6625,0
Mrs,female,30.0,with_family,2,21.0,1
Miss,female,29.699118,single,3,7.7375,1
Mr,male,25.0,with_family,2,26.0,0
Miss,female,25.0,with_family,3,7.925,0
Miss,female,29.0,single,1,211.3375,1
Mr,male,11.0,single,3,18.7875,0
Mr,male,29.699118,single,2,0.0,0
Mr,male,23.0,single,2,13.0,0
Mr,male,23.0,single,2,13.0,0
Mr,male,28.5,single,3,16.1,0
Mrs,female,48.0,with_family,3,34.375,0
Mr,male,35.0,single,1,512.3292,1
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,3,7.8958,0
Mr,male,29.699118,single,1,30.0,1
Mr,male,36.0,with_family,1,78.85,0
Miss,female,21.0,with_family,1,262.375,1
Mr,male,24.0,with_family,3,16.1,0
Mr,male,31.0,single,3,7.925,1
Mr,male,70.0,with_family,1,71.0,0
Mr,male,16.0,with_family,3,20.25,0
Miss,female,30.0,single,2,13.0,1
Mr,male,19.0,with_family,1,53.1,0
Mr,male,31.0,single,3,7.75,0
Miss,female,4.0,with_family,2,23.0,1
Mr,male,6.0,with_family,3,12.475,1
Mr,male,33.0,single,3,9.5,0
Mr,male,23.0,single,3,7.8958,0
Mrs,female,48.0,with_family,2,65.0,1
Mr,male,0.67,with_family,2,14.5,1
Mr,male,28.0,single,3,7.7958,0
Mr,male,18.0,single,2,11.5,0
Mr,male,34.0,single,3,8.05,0
Mrs,female,33.0,single,1,86.5,1
Mr,male,29.699118,single,3,14.5,0
Mr,male,41.0,single,3,7.125,0
Mr,male,20.0,single,3,7.2292,1
Mrs,female,36.0,with_family,1,120.0,1
Mr,male,16.0,single,3,7.775,0
Mrs,female,51.0,with_family,1,77.9583,1
Mr,male,29.699118,single,1,39.6,0
Miss,female,30.5,single,3,7.75,0
Mr,male,29.699118,with_family,3,24.15,0
Mr,male,32.0,single,3,8.3625,0
Mr,male,24.0,single,3,9.5,0
Mr,male,48.0,single,3,7.8542,0
Mrs,female,57.0,single,2,10.5,0
Mr,male,29.699118,single,3,7.225,0
Mrs,female,54.0,with_family,2,23.0,1
Mr,male,18.0,single,3,7.75,0
Mr,male,29.699118,single,3,7.75,0
Miss,female,5.0,single,3,12.475,1
Mr,male,29.699118,single,3,7.7375,0
Mrs,female,43.0,with_family,1,211.3375,1
Miss,female,13.0,single,3,7.2292,1
Mrs,female,17.0,with_family,1,57.0,1
Mr,male,29.0,single,1,30.0,0
Mr,male,29.699118,with_family,3,23.45,0
Mr,male,25.0,single,3,7.05,0
Mr,male,25.0,single,3,7.25,0
Miss,female,18.0,single,3,7.4958,1
Mr,male,8.0,with_family,3,29.125,0
Mr,male,1.0,with_family,3,20.575,1
Mr,male,46.0,single,1,79.2,0
Mr,male,29.699118,single,3,7.75,0
Mr,male,16.0,single,2,26.0,0
Miss,female,29.699118,with_family,3,69.55,0
Mr,male,29.699118,single,1,30.6958,0
Mr,male,25.0,single,3,7.8958,0
Mr,male,39.0,single,2,13.0,0
Mr,female,49.0,single,1,25.9292,1
Mrs,female,31.0,single,3,8.6833,1
Mr,male,30.0,single,3,7.2292,0
Mrs,female,30.0,with_family,3,24.15,0
Mr,male,34.0,single,2,13.0,0
Mrs,female,31.0,with_family,2,26.25,1
Mr,male,11.0,with_family,1,120.0,1
Mr,male,0.42,with_family,3,8.5167,1
Mr,male,27.0,single,3,6.975,1
Mr,male,31.0,single,3,7.775,0
Mr,male,39.0,single,1,0.0,0
Miss,female,18.0,single,3,7.775,0
Mr,male,39.0,single,2,13.0,0
Mrs,female,33.0,with_family,1,53.1,1
Mr,male,26.0,single,3,7.8875,0
Mr,male,39.0,single,3,24.15,0
Mr,male,35.0,single,2,10.5,0
Miss,female,6.0,with_family,3,31.275,0
Mr,male,30.5,single,3,8.05,0
Mr,male,29.699118,single,1,0.0,0
Miss,female,23.0,single,3,7.925,0
Mr,male,31.0,with_family,2,37.0042,0
Mr,male,43.0,single,3,6.45,0
Mr,male,10.0,with_family,3,27.9,0
Mrs,female,52.0,with_family,1,93.5,1
Mr,male,27.0,single,3,8.6625,1
Mr,male,38.0,single,1,0.0,0
Mrs,female,27.0,with_family,3,12.475,1
Mr,male,2.0,with_family,3,39.6875,0
Mr,male,29.699118,single,3,6.95,0
Mr,male,29.699118,single,3,56.4958,0
Mr,male,1.0,with_family,2,37.0042,1
Mr,male,29.699118,single,3,7.75,1
Mrs,female,15.0,with_family,3,14.4542,1
Mr,male,0.83,with_family,2,18.75,1
Mr,male,29.699118,single,3,7.2292,0
Mr,male,23.0,single,3,7.8542,0
Mr,male,18.0,single,3,8.3,0
Miss,female,39.0,with_family,1,83.1583,1
Mr,male,21.0,single,3,8.6625,0
Mr,male,29.699118,single,3,8.05,0
Mr,male,32.0,single,3,56.4958,1
Mr,male,29.699118,single,1,29.7,1
Mr,male,20.0,single,3,7.925,0
Mr,male,16.0,single,2,10.5,0
Miss,female,30.0,single,1,31.0,1
Mr,male,34.5,single,3,6.4375,0
Mr,male,17.0,single,3,8.6625,0
Mr,male,42.0,single,3,7.55,0
Mr,male,29.699118,with_family,3,69.55,0
Mr,male,35.0,single,3,7.8958,0
Mr,male,28.0,with_family,2,33.0,0
Mrs,female,29.699118,with_family,1,89.1042,1
Mr,male,4.0,with_family,3,31.275,0
Mr,male,74.0,single,3,7.775,0
Miss,female,9.0,with_family,3,15.2458,0
Miss,female,16.0,with_family,1,39.4,1
Mrs,female,44.0,with_family,2,26.0,0
Mrs,female,18.0,with_family,3,9.35,1
Mrs,female,45.0,with_family,1,164.8667,1
Mr,male,51.0,single,1,26.55,1
Mrs,female,24.0,with_family,3,19.2583,1
Mr,male,29.699118,single,3,7.2292,0
Mr,male,41.0,with_family,3,14.1083,0
Mr,male,21.0,with_family,2,11.5,0
Mrs,female,48.0,single,1,25.9292,1
Miss,female,29.699118,with_family,3,69.55,0
Mr,male,24.0,single,2,13.0,0
Mrs,female,42.0,single,2,13.0,1
Miss,female,27.0,with_family,2,13.8583,1
Mr,male,31.0,single,1,50.4958,0
Mr,male,29.699118,single,3,9.5,0
Mr,male,4.0,with_family,3,11.1333,1
Mr,male,26.0,single,3,7.8958,0
Mrs,female,47.0,with_family,1,52.5542,1
Mr,male,33.0,single,1,5.0,0
Mr,male,47.0,single,3,9.0,0
Mrs,female,28.0,with_family,2,24.0,1
Miss,female,15.0,single,3,7.225,1
Mr,male,20.0,single,3,9.8458,0
Mr,male,19.0,single,3,7.8958,0
Mr,male,29.699118,single,3,7.8958,0
Mrs,female,56.0,with_family,1,83.1583,1
Mrs,female,25.0,with_family,2,26.0,1
Mr,male,33.0,single,3,7.8958,0
Miss,female,22.0,single,3,10.5167,0
Mr,male,28.0,single,2,10.5,0
Mr,male,25.0,single,3,7.05,0
Mrs,female,39.0,with_family,3,29.125,0
Mr,male,27.0,single,2,13.0,0
Miss,female,19.0,single,1,30.0,1
Miss,female,29.699118,with_family,3,23.45,0
Mr,male,26.0,single,1,30.0,1
Mr,male,32.0,single,3,7.75,0
